retention_fraction,minimum_keep,operational_weight,nli_weight,cell_count,recall_macro,recall_min,recall_pooled,selected_count_mean,selected_count_median,selected_count_max,silver_precision_lower_bound_macro,silver_precision_lower_bound_min,mrr_macro,mrr_min,selected_count_ratio,delta_vs_full_p_lb,delta_vs_full_mrr,matched_a2_recall_delta,matched_a2_p_lb_delta,matched_a2_mrr_delta,matched_r2_recall_delta,matched_r2_p_lb_delta,matched_r2_mrr_delta,nli_additive_gain,feasible,violation_count,selected
0.8,10,0.3,0.2,20,0.9931818181818182,0.9090909090909091,0.9936507936507937,19.35,19.5,26,0.8158448378135079,0.5882352941176471,0.9907954545454546,0.9090909090909091,0.8147368421052632,0.14292761316241231,-0.00920454545454541,0.0,0.0,-0.0023863636363635754,0.002272727272727315,0.002272727272727204,-0.00011363636363626028,0.002272727272727204,False,2,False
0.8,10,0.3,0.3,20,0.9838636363636363,0.9090909090909091,0.9841269841269841,19.35,19.5,26,0.8073763063449764,0.5882352941176471,0.9778409090909091,0.9090909090909091,0.8147368421052632,0.13445908169388077,-0.02215909090909085,-0.009318181818181892,-0.008468531468531548,-0.015340909090909016,-0.007045454545454577,-0.006195804195804344,-0.013068181818181701,-0.006195804195804344,False,8,False
0.8,10,0.3,0.4,20,0.9609090909090909,0.8181818181818182,0.9619047619047619,19.35,19.5,26,0.7864774515765565,0.5882352941176471,0.9403409090909092,0.8181818181818182,0.8147368421052632,0.11356022692546086,-0.05965909090909083,-0.03227272727272723,-0.029367386236951454,-0.052840909090908994,-0.029999999999999916,-0.02709465896422425,-0.04704545454545439,-0.02709465896422425,False,9,False
0.8,12,0.0,0.1,20,0.9977272727272727,0.9545454545454546,0.9968253968253968,19.5,19.5,26,0.8075115044801745,0.5882352941176471,0.9977272727272727,0.9545454545454546,0.8210526315789474,0.1345942798290789,-0.002272727272727315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,False
0.8,12,0.0,0.2,20,0.9886363636363636,0.9090909090909091,0.9873015873015873,19.5,19.5,26,0.7988981974973024,0.5882352941176471,0.9886363636363636,0.9090909090909091,0.8210526315789474,0.1259809728462068,-0.011363636363636354,-0.009090909090909038,-0.008613306982872104,-0.009090909090909038,-0.009090909090909038,-0.008613306982872104,-0.009090909090909038,-0.008613306982872104,False,8,False
0.8,12,0.0,0.3,20,0.9840909090909091,0.9090909090909091,0.9809523809523809,19.5,19.5,26,0.7948012075307471,0.5882352941176471,0.9840909090909091,0.9090909090909091,0.8210526315789474,0.12188398287965152,-0.015909090909090873,-0.013636363636363558,-0.01271029694942738,-0.013636363636363558,-0.013636363636363558,-0.01271029694942738,-0.013636363636363558,-0.01271029694942738,False,8,False
0.8,12,0.0,0.4,20,0.9679545454545455,0.8181818181818182,0.9682539682539683,19.5,19.5,26,0.7806508578803976,0.5882352941176471,0.9643181818181817,0.8181818181818182,0.8210526315789474,0.10773363322930196,-0.03568181818181826,-0.029772727272727173,-0.02686064659977694,-0.033409090909090944,-0.029772727272727173,-0.02686064659977694,-0.033409090909090944,-0.02686064659977694,False,9,False
0.8,12,0.1,0.1,20,0.9977272727272727,0.9545454545454546,0.9968253968253968,19.5,19.5,26,0.8075115044801745,0.5882352941176471,0.9977272727272727,0.9545454545454546,0.8210526315789474,0.1345942798290789,-0.002272727272727315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,False
0.8,12,0.1,0.2,20,0.9931818181818182,0.9090909090909091,0.9904761904761905,19.5,19.5,26,0.803064864163969,0.5882352941176471,0.9931818181818182,0.9090909090909091,0.8210526315789474,0.13014763951287345,-0.006818181818181834,-0.004545454545454519,-0.004446640316205452,-0.004545454545454519,-0.004545454545454519,-0.004446640316205452,-0.004545454545454519,-0.004446640316205452,False,7,False
0.8,12,0.1,0.3,20,0.9909090909090909,0.9090909090909091,0.9904761904761905,19.5,19.5,26,0.8011709247700296,0.5882352941176471,0.9896590909090909,0.9090909090909091,0.8210526315789474,0.128253700118934,-0.010340909090909123,-0.006818181818181834,-0.0063405797101449,-0.008068181818181808,-0.006818181818181834,-0.0063405797101449,-0.008068181818181808,-0.0063405797101449,False,8,False
